headlines,sources,links,head_line,Date,story
Why Has Reliance Industries Gained 130% Since March? - Investing.com India,Investing.com,https://in.investing.com/news/why-has-reliance-industries-gained-130-since-march-2503181,Why Has Reliance Industries Gained 130% Since March?,"Investing.com
Stock Market News
2020-11-12 04:15","By Aditya Raghunath
Investing.com -- Reliance Industries (NS: RELI ) is India’s largest company in terms of market cap and the stock has soared a phenomenal 130% since March 2020. RIL stock began the year at Rs. 1,500 and soon fell to a 52-week low of Rs 867.4 as the Nifty and BSE Sensex plunged close to 40% due to the COVID-19 pandemic as well as lower oil prices.
However, since then the stock has made a strong comeback and touched a record of Rs 2,369.35 in September. So what’s driven this massive surge in Reliance Industries?
Billion-dollar investments by a slew of foreign investors
Several global heavyweights have pumped in billions of dollars to get a slice of the Jio dream. Launched back in 2016, Jio is now the leading telecom operator in India and has attracted investments from Facebook (NASDAQ: FB ), Intel (NASDAQ: INTC ), Qualcomm (NASDAQ: QCOM ), and Alphabet’s Google (NASDAQ: GOOGL ). Private equity firms such as KKR and Silver Lake have also invested in Jio.
In the last six months, Reliance Industries has raised approximately Rs 170,000 crore or $23 billion in strategic investments.
However, Reliance remains an energy-focused company and generates the majority of its sales from the refining and marketing of oil. This is followed by its petrochemicals business, organized retail, telecom, and media businesses.
Is Reliance debt-free?
Mukesh Ambani previously aimed to make Reliance Industries net-debt free by the end of this fiscal year. While this idea would have seemed absurd at the start of 2020, the above investments have managed the company to attain its financial goal well before March 2021.
While Reliance still has debt on its books, the company has enough liquidity to cover its liabilities and continue to invest in growth and capital expenditure.
Reliance will be a key player in the transition towards 5G technology and the rebound in oil prices in the upcoming months coupled with its strong balance sheet should be key drivers of its stock price."
"Price Action Outlook - Reliance Industries, Drawback in Downtrend - Investing.com India",Investing.com,https://in.investing.com/analysis/price-action-outlook--reliance-industries-drawback-in-downtrend-200447404,"Price Action Outlook - Reliance Industries, Drawback in Downtrend","Stock Market Analysis
2020-11-06 08:48
Editors Pick","Reliance Industries (NS: RELI ) is one of the few stocks that have benefitted majorly from the Covid crises. Drastic changes in the company’s business model, diversification from the Energy segment to the Retail segment are the two major themes driving the Price Action. However, from the last couple of days, we can witness a downtrend in Stock Prices; it’s a Short term downtrend. Prices have declined almost 22% from the peak value, even though it’s a drastic fall, still, it’s not a good idea to take a short trade in Reliance, at least from my point of view! Here’s why – Take a look at this Chart Analysis.

Price Action Analysis on Reliance Industries – 4h Chart


After testing the low of 1850, we can see a quick bounce back in Stock Prices. Along with that, the volume has also significantly increased. A combination of a sudden increase in the Volume and a quick bounce back in stock prices technically indicates the buying pressure on the stock.

But keep in mind, just because there is Buying pressure doesn’t mean that stock prices are going to shoot up. In order for the Buyers to take complete control over the market sentiment, Prices should break above the potential resistance at 2050 and must retest it clearly to go higher. On the other hand, a break below 1850 might push the stock prices into a further selloff or Sideways Behavior. Just keep an eye on the Price Action and Trade Accordingly in the coming days."
BRIEF-Reliance Industries Says Tribunal Dismisses Co’s Appeal Against Order On RPL Share Sale - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-tribunal-dismisses-cos-appeal-against-order-on-rpl-share-sale-2492385,BRIEF-Reliance Industries Says Tribunal Dismisses Co's Appeal Against Order On RPL Share Sale,"Reuters
Stock Market News
2020-11-05 07:06","Nov 5 (Reuters) - Reliance Industries Ltd RELI.NS :
* TRIBUNAL DISMISSED RIL'S APPEAL AGAINST MARKETS REGULATOR ORDER DATED MARCH 24
* RELIANCE INDUSTRIES - TRIBUNAL ORDER RELATING TO SALE OF RPL SHARES BY COMPANY IN NOV 2007
* CO WILL PREFER AN APPEAL TO THE SUPREME COURT
* RELIANCE INDUSTRIES- REITERATES CO HAS NOT VIOLATED ANY LAW OR REGULATION WHILE SELLING SHARES OF RPL"
Reliance Industries In-line Performance! - Investing.com India,Investing.com,https://in.investing.com/analysis/reliance-industries--inline-performance-200447287,Reliance Industries In-line Performance!,"Stock Market Analysis
2020-11-04 09:05
Editors Pick","Our ADD rating on Reliance Industries Ltd (NS: RELI )with a price target of INR 2,140 /sh is premised on (1) induction of Facebook (NASDAQ: FB ), Google (NASDAQ: GOOGL ), Intel (NASDAQ: INTC ) and Qualcomm (NASDAQ: QCOM ) as partners in Jio Platform, which should enable the company to accelerate the growth of digital connectivity and create value in the digital ecosystem through technology offerings, (2) recovery in refining and petchem businesses in FY22E, (3) the emergence of a clear path to a stronger balance sheet, and (4) stake sale in the retail business.
RIL reported standalone revenue/EBITDA of INR 563/76bn, -35/-44% YoY (in line with our estimates). Standalone APAT stood at INR 65bn, -33% YoY (HSIE est: INR 36bn). The deviation in APAT from the estimates was mainly due to the tax expense reversal on account of a reduction in the annual effective tax rate for FY21.
Standalone refining segment: Crude throughput declined 8/8% YoY/QoQ to 15.3mmt. GRM stood at USD 5.7/bbl, down from USD 6.3/bbl in 1Q. The sequential decline in the refining margin was due to lower cracks across products. RIL's GRMs outperformed Singapore GRM by USD 5.7/bbl (as against USD 7.2/bbl in 1Q).
Standalone petrochemical segment: Production during 2Q was 9.7mmt, - 2/+9% YoY/QoQ. Petchem EBITDA was INR 59bn, -33% YoY given pricing pressure because of disruptions in the local and global markets. EBITDA/t stood at INR 6,052 (vs. INR 8,839/4,860 YoY/QoQ)
RJio: Revenue grew by ~33/6% YoY/QoQ to INR 175bn. ARPU rose to INR 145 (+14/3% YoY/QoQ) while the gross/net subscriber addition was ~27/7mn. We expect ARPU to increase to INR 148/160 in FY21/22E owing to the tariff hike in Dec-19.
Reliance (NS: RELI ) Retail (RR): Recovery from the pandemic has been encouraging across categories. Revenue nearly hit base quarter levels (Rs. 411bn). 85% of stores are now operational (1Q: 50%), of which half are fully operational. Footfalls clocked 75% of pre-covid levels (vs 43% in 1Q). Consumer Electronics (CE) doubled, and Fashion & Lifestyle (F&L) tripled their toplines respectively from their 1QFY21 lows (Yet to recoup base quarter sales). Grocery and connectivity continued their strong growth momentum. EBITDAM expanded 160bp QoQ to 5.4% as the mix sharply improved in favor of the high margin CE and F&L segment. (Note: EBITDAM still remains 90bp short of 2QFY20 levels).
The full version of the analysis including charts can be found in the attached PDF file:
title"
Reliance Industries Reports Robust Quarterly Numbers - Jio And Retail Going Strong - Investing.com India,Investing.com,https://in.investing.com/analysis/reliance-industries-reports-robust-quarterly-numbers--jio-and-retail-going-strong-200447113,Reliance Industries Reports Robust Quarterly Numbers - Jio And Retail Going Strong,"Stock Market Analysis
2020-11-02 04:03","Reliance Industries (NS: RELI ) announced its quarterly results on October 30, reporting a consolidated bottom-line increase of 28 percent characterized by higher revenue, higher EBITDA, and lower interest charges over the previous quarter.

With strong quarterly figures, the business operations are seen to be approaching the pre-Covid levels for most operating segments. As per the chairman Mukesh Ambani, retail buying has returned to normalcy for key consumer products with the easing of lockdowns. The company has witnessed a sharp recovery across its Order-to-Cash (O2C) business processes.

The shape of consolidated quarterly numbers

Higher revenue over the previous quarter was on the account of favorable oil prices and retail business rebound. Retail stores experienced more footfalls with the lockdowns easing but the retail operations are still eyeing the impulsive customer purchases to push the retail numbers over pre-Covid levels.

Retail and digital services contributed 85 percent of the incremental consolidated EBITDA for the quarter. The weak oil refining numbers were offset by an improved performance by the petrochemical segment. Petrochemicals and oil products demand materialized into a 34.6 percent increase in the EBITDA for the segment. The company achieved record quarterly EBITDA for the digital services arm.

The decrease in finance costs was supported by fulfilling the higher cost obligations in advance. The acquisition of Reliance Holdings USA (RHUSA) partially increased finance costs. While the outstanding debt for the quarter ending was Rs 279,251 crores, funds raised and receivables stood in excess of outstanding debt. The enterprise value of the firm appreciated significantly with a massive inflow of capital in the form of equity investments and strategic partnerships.

Source: Tavaga Research, Reliance Press Release

How did the individual segments perform?

Reliance Jio – Digital Services

Reliance Jio revenue (7.2 percent QoQ) and EBITDA (8.7 percent QoQ) increased sequentially over the previous quarter with a slight increase in EBITDA margin. However, the segment reported a 19.8 percent net profit for the quarter under review.

With a customer base of 405 million subscribers, Reliance Jio became the only operator outside China to cross the 400 million subscriber mark by catering to a single country market. While the wireless line of operations witnessed a strong increase in the subscriber base, the monthly churn rate stood increased due to the impact of the pandemic on recharge cycles.

The more exciting development took place in the 5G space as Jio in collaboration with Qualcomm (NASDAQ: QCOM ) achieved a speed of over 1gbps using Reliance 5G solutions. Jio Platforms continued its development on building 5G infrastructure.

JioUPI completed its pan-India rollout with full integration with the BHIM UPI application.

Reliance Retail

Reliance Retail showed a phenomenal increase of 85 percent in the EBITDA for the quarter over the previous one. Revenue of the segment was the same as compared to last year despite stores working at a partial capacity. The increase in revenue implies a rebound in retail buying. Higher EBITDA growth stems from a low base factor, but the EBITDA margin also recovered from 3.8 previous quarter to 5.5 percent for the current quarter implying prompt cost management.

The retail figures point to a V-shaped recovery as the segment will be testing the pre-Covid level of operations.

The grocery line witnessed strong momentum with recovery in electronics and clothing lines as well. The company entered the pharma retail market and continued expanding its digital capabilities across consumption products. With consumer electronics posting twice the revenue than that of the previous quarter, the electronics growth is expected to continue through the third quarter with festive buying in effect.

Reliance Retail also ramped up its digital platforms to support online-buying and sustain competition. JioMart was able to leverage the strong demand for groceries driven by demand for staples and processed food during the lockdown.

Reliance – Petrochem, Refining and Marketing, Oil and Gas Exploration and Media

Petrochemicals segment delivered a strong performance on the back of a recovery in operating levels with some of the company’s crackers working at 100 percent utilization. The growth was driven by improvement in demand, which was led by restricted supply during the lockdown period. Segment revenue for the quarter was Rs 29,665 crores, which is 17.8 percent higher than the previous quarter. The revenue was mainly boosted by an increase in prices across the product line. The EBITDA margin of 20.1 percent was supported by efficient cracker mechanics and increasing PVC margins.

The company achieved the highest quarterly polymer domestic sales and polyester sales also picked up with the easing of lockdown. The revival of the auto, agriculture, and construction sectors is to drive further growth of the petrochemical segment.

The refining and marketing segment reported strong revenue growth (up 33 percent QoQ) supported increasing in the global oil demand and prices in the second quarter. However, the higher revenue numbers were offset by weak segment EBITDA which declined by 21.4 percent over the previous quarter. The company cited the higher cost of crude oil and lower-middle distillate cracks as the reason for the decline in the segment EBITDA.

The oil and gas exploration segment experienced a decline in production and favorable price realization that led to a revenue decline of 29.8 percent QoQ for the segment.

The media segment reported a revenue of Rs 1,061 crores (31.5 percent QoQ) and an EBITDA of Rs 166 crores (514.8 percent QoQ). Revenues from advertising and improved margins for broadcasting proved to be the growth factors of the segment. The segment continued to experience healthy subscription numbers that ultimately converted into increased television viewership. MoneyControl and Voot reported growth in subscribers for paid content.

Capital Financing and Strategic Partnerships

Reliance Industries facilitated the largest fundraising in India during the lockdown period and continued to attract capital from all over the globe. The capital was financed by a rights issue of Reliance shares and asset monetization. The funds received combined with receivables have taken the net debt levels to below zero.

Source: Tavaga Research, Reliance Press Release
Jio Platforms received investment from behemoths such as Facebook (NASDAQ: FB ), Google (NASDAQ: GOOGL ), KKR, Mubadala, ADIA, Silver Lake, and Qualcomm Ventures.
Reliance Retail Ventures Limited (RRVL) secured investments from Silver Lake, General Atlantic, Mubadala, ADIA, TPG, and GIC.
The regulatory authorities are deliberating over the potential acquisition of the Future Group’s retail and wholesale business by Reliance Retail
RRVL acquired a controlling stake in Netmeds
The overall quarterly results of RIL signal a sharp recovery in just six months after the pandemic made itself known. With the economy opening up and consumer spending returning to normalcy, the company stands to capitalize on demand revival. More importantly, the company showcased a robust balance sheet with the ability to sustain uncertainty in the near future.

Disclaimer: The above analysis is not a stock recommendation"
Reliance Industries Drags Nifty Lower as Crude Oil Falls - Investing.com India,Investing.com,https://in.investing.com/news/reliance-industries-drags-nifty-lower-as-crude-oil-falls-2487330,Reliance Industries Drags Nifty Lower as Crude Oil Falls,"Investing.com
Stock Market News
2020-11-02 06:09","By Aditya Raghunath
Investing.com -- The second wave of the COVID-19 pandemic has had a major impact in the Americas and Europe as the number of cases has started rising up again. The COVID-19 cases in Europe have crossed the 10 million mark and countries like the UK, France, and Spain have once again imposed total or partial lockdowns. The U.S. is seeing a record surge in cases that is killing up to 1,000 people a day.
This new spike in cases has led to a massive drop in oil prices. Crude Oil WTI Futures that was trading at $40 in October is now below $35 levels. Brent Crude is between $36-$37 levels.
The drop in oil has affected markets in India with the Nifty trading at 11,616, down 0.23%, and the BSE trading at 39,555, down 0.14% at 11:10 AM.
Reliance (NS: RELI ) Industries fell over 5% as it reported a 15% fall in quarterly profit on Friday, October 30. Even though the number was higher than analyst estimates, the share is trading lower because of the drop in oil prices.
RIL accounts for almost 13.24% of the Nifty 50 and over 16% in the BSE Sensex . Any movement in its price affects both indices. Indian Oil (NS: IOC ) Corporation was also trading down 0.82% at the time of this report."
BRIEF-Reliance Industries Says Both The Chevron And Ensign JV Have Suspended Development Activity - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-both-the-chevron-and-ensign-jv-have-suspended-development-activity-2485658,BRIEF-Reliance Industries Says Both The Chevron And Ensign JV Have Suspended Development Activity,"Reuters
Stock Market News
2020-10-30 15:12","Oct 30 (Reuters) - Reliance Industries Ltd (NS: RELI ):
* SAYS BOTH THE CHEVRON AND ENSIGN JV HAVE SUSPENDED DEVELOPMENT ACTIVITY"
BRIEF-Reliance Industries Outstanding Debt As On Sept 30 At 2.79 Trln Rupees - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-outstanding-debt-as-on-sept-30-at-279-trln-rupees-2485674,BRIEF-Reliance Industries Outstanding Debt As On Sept 30 At 2.79 Trln Rupees,"Reuters
Stock Market News
2020-10-30 15:24","Oct 30 (Reuters) - Reliance Industries Ltd RELI.NS :
* SAYS DOMESTIC DEMAND HAS SHARPLY RECOVERED ACROSS O2C BUSINESS AND IS NOW NEAR PRE-COVID LEVEL FOR MOST PRODUCTS
* SAYS RETAIL BUSINESS ACTIVITY HAS NORMALISED WITH STRONG GROWTH IN KEY CONSUMPTION BASKETS AS LOCKDOWNS EASE ACROSS THE COUNTRY
* OUTSTANDING DEBT AS ON SEPT 30 AT 2.79 TRLN RUPEES"
BRIEF-India’s Reliance Industries Sept-Qtr Consol Net Profit Drops - Investing.com India,Investing.com,https://in.investing.com/news/briefindias-reliance-industries-septqtr-consol-net-profit-drops-2485591,BRIEF-India's Reliance Industries Sept-Qtr Consol Net Profit Drops,"Reuters
Stock Market News
2020-10-30 14:36","Oct 30 (Reuters) - Reliance Industries Ltd RELI.NS :
* SEPT-QUARTER CONSOL NET PROFIT 95.67 BILLION RUPEES VERSUS PROFIT 112.62 BILLION RUPEES YEAR AGO
* CONSENSUS FORECAST FOR SEPT-QUARTER CONSOL PROFIT WAS 85.48 BILLION RUPEES -- REFINITIV DATA
* SEPT-QUARTER CONSOL REVENUE FROM OPERATIONS 1.16 TRLN RUPEES VERSUS 1.53 TRLN RUPEES YEAR AGO
* SEPT-QUARTER PROFIT 65.46 BILLION RUPEES VERSUS PROFIT 97.02 BILLION RUPEES YEAR AGO
* SEPT-QUARTER REVENUE FROM OPERATIONS 612.46 BILLION RUPEES VERSUS 911.17 BILLION RUPEES YEAR AGO"
BRIEF-Reliance Industries Exec Says Looking To Scale Up Digital Commerce Business - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-exec-says-looking-to-scale-up-digital-commerce-business-2485732,BRIEF-Reliance Industries Exec Says Looking To Scale Up Digital Commerce Business,"Reuters
Stock Market News
2020-10-30 16:06","Oct 30 (Reuters) - Reliance Industries Ltd Executive RELI.NS :
* RELIANCE INDUSTRIES EXEC SAYS JIO ADDED 7.3 MILLION CUSTOMERS IN SEPT QUARTER
* RELIANCE INDUSTRIES EXEC SAYS OIL TO CHEMICAL BUSINESS NEAR PRE COVID LEVEL
* RELIANCE INDUSTRIES EXEC SAYS OPERATING ENVIRONMENT CONTINUE TO BE CHALLENGING IN RETAIL SEGMENT
* RELIANCE INDUSTRIES EXEC SAYS CONTINUE TO INVEST IN ACQUISITIONS IN RETAIL SPACE
* RELIANCE INDUSTRIES EXEC SAYS RETAIL MARKET HAS IMPROVED FROM PREVIOUS QUARTER BUT NOT BACK TO PRE COVID LEVEL
* RELIANCE INDUSTRIES EXEC SAYS SEEKING REGULATORY APPROVALS ON ACQUISITION OF FUTURE RETAIL
* RELIANCE INDUSTRIES EXEC SAYS LOOKS TO ACCELERATE OPENING OF NEW RETAIL STORES
* RELIANCE INDUSTRIES EXEC SAYS LOOKING TO SCALE UP DIGITAL COMMERCE
* RELIANCE INDUSTRIES EXEC SAYS LOOKING TO LAUNCH ELECTRONICS, PHARMA, LIFESTYLE ON JIO MART
* RELIANCE INDUSTRIES EXEC SAYS SEEING SWIFT RECOVERY IN OIL DEMAND
* RELIANCE INDUSTRIES EXEC SAYS LOOKING FORWARD TO A GROWTH IN WINTER DEMAND FOR FUELS
* RELIANCE INDUSTRIES EXEC SAYS TWEAKED PRODUCT MIX TO BOOST REFINING MARGINS
* RELIANCE INDUSTRIES EXEC SAYS SUPPLEMENTED CRUDE WITH HEAVY FEED STOCK TO BOOST MARGINS
* RELIANCE INDUSTRIES EXEC SAYS RISING LOCALS FUEL SALES WILL HELP IN BOOSTING RELIANCE SALES
* RELIANCE INDUSTRIES EXEC SAYS GLOBAL POLYMER DEMAND RISING DUE TO EASING OF LOCKDOWN
* RELIANCE INDUSTRIES EXEC SAYS SEES DEMAND GROWTH IN POLYMER CRACKER TO CONTINUE IN COMING QTRS
* RELIANCE INDUSTRIES EXEC SAYS EXPECT TURNAROUND IN GAS PRICES
* RELIANCE INDUSTRIES EXEC SAYS CLOSE TO COMPLETION OF R CLUSTER PROJECT FIELDS
* RELIANCE INDUSTRIES EXEC SAYS EXPECT PRODUCTION FORM MJ FIELD IN H2 2022
* RELIANCE INDUSTRIES EXEC SAYS DEMAND SUPPLY BALANCE IN OIL SECTOR EXPECTED TO NORMALISE IN 2-3 QTRS
* RELIANCE INDUSTRIES EXEC SAYS EXPECT MARGINS TO RECOVER WITH IMPROVING FUEL DEMAND, INVENTORY DRAWDOWN"
BRIEF-Reliance Industries Says Footfalls At Stores Are Still Lower Than Pre COVID Levels - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-footfalls-at-stores-are-still-lower-than-pre-covid-levels-2485657,BRIEF-Reliance Industries Says Footfalls At Stores Are Still Lower Than Pre COVID Levels,"Reuters
Stock Market News
2020-10-30 15:12","Oct 30 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE INDUSTRIES SAYS ALL INVESTMENTS IN JIO, EXCLUDING GOOGLE, HAVE BEEN COMPLETED POST FULFILLING APPLICABLE CONDITIONS
* RELIANCE INDUSTRIES SAYS FOR RELIANCE RETAIL PARTIALLY OPEN AND FULLY OPEN STORES WERE UP TO 85% IN Q2 FY21
* RELIANCE INDUSTRIES SAYS FOOTFALLS, WHILE RECOVERING, ARE STILL LOWER THAN PRE COVID LEVELS, PARTICULARLY ACROSS FASHION & LIFESTYLE & MALL STORES"
BRIEF-Reliance Industries Sept-Quarter Refining GRM $5.7 Per Barrel - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-septquarter-refining-grm-57-per-barrel-2485675,BRIEF-Reliance Industries Sept-Quarter Refining GRM $5.7 Per Barrel,"Reuters
Stock Market News
2020-10-30 15:24","Oct 30 (Reuters) - Reliance Industries Ltd RELI.NS :
* SEPT-QUARTER REFINING GRM $5.7 PER BARREL - COMPANY TWEET
* CASH AND CASH EQUIVALENTS AS ON SEPT 30 WERE AT 1.86 TRLN RUPEES"
"Nifty rise on gains in bank stocks, Reliance Industries - Investing.com India",Investing.com,https://in.investing.com/news/indian-shares-rise-on-gains-in-bank-stocks-reliance-industries-2468467,"Nifty rise on gains in bank stocks, Reliance Industries","Reuters
Stock Market News
2020-10-19 05:54","BENGALURU, Oct 19 (Reuters) - Indian shares rose on Monday, boosted by gains in conglomerate Reliance Industries and bank stocks, with sentiment also lifted by hopes of a U.S. stimulus package before the presidential election and expectations of a COVID-19 vaccine by year-end.
The NSE Nifty 50 index .NSEI was up 1% at 11,884.00 by 0437 GMT, while the S&P BSE Sensex .BSESN was 1.2% higher at 40,468.43.
Broader Asian stocks rose after drugmaker Pfizer Inc (NYSE: PFE ) PFE.N said on Friday it could have a coronavirus vaccine ready in the United States by the end of the year, while U.S. House Speaker Nancy Pelosi expressed optimism that a coronavirus relief package could be pushed through before the election. MKTS/GLOB
In Mumbai trading, banks were among the top gainers on the Nifty 50 index. Shares of Axis Bank AXBK.NS climbed as much as 4.4% to their highest since Sept. 1, while HDFC Bank HDBK.NS rose nearly 3% after the lender posted an 18.4% rise in quarterly profit. Nifty Bank index .NSEBANK advanced 2.2%.
""Bank stocks are steadily gaining momentum after HDFC Bank's results and markets think that other private sector banks could follow suit,"" said Saurabh Jain, assistant vice president at SMC Global Securities Ltd in New Delhi.
Gains were also supported by Reliance Industries RELI.NS , India's most valuable company, whose shares rose as much as 2.4%.
Regulatory approval to hold clinical trials for Russia's Sputnik V COVID-19 vaccine in India pushed shares of Dr.Reddy's Laboratories REDY.NS up 1%.(https:// carrier Jet Airways (NS: JET ) JET.N rose as much as 5% to hit the upper circuit in trade after its creditors approved a resolution plan.
Auto stocks fell on Monday, with the Nifty Auto index .NIFTYAUTO slipping 0.66%, weighed down by a 2.58% drop in shares of Eicher Motors Ltd EICH.NS ."
BRIEF-Reliance Industries Says ADIA To Invest 55.13 Bln Rupees In Reliance Retail Ventures - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-adia-to-invest-5513-bln-rupees-in-reliance-retail-ventures-2452809,BRIEF-Reliance Industries Says ADIA To Invest 55.13 Bln Rupees In Reliance Retail Ventures,"Reuters
Stock Market News
2020-10-06 13:42","Oct 6 (Reuters) - Reliance Industries Ltd RELI.NS :
* ADIA TO INVEST 55.13 BILLION RUPEES IN RELIANCE RETAIL VENTURES
* ADIA'S INVESTMENT WILL TRANSLATE INTO A 1.20% EQUITY STAKE IN RRVL ON FULLY DILUTED BASIS
* INVESTMENT VALUES RRVL AT A PRE-MONEY EQUITY VALUE OF 4.29 TRILLION RUPEES"
BRIEF-Reliance Industries- General Atlantic To Invest 36.75 Bln Rupees In Reliance Retail Ventures - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-general-atlantic-to-invest-3675-bln-rupees-in-reliance-retail-ventures-2444223,BRIEF-Reliance Industries- General Atlantic To Invest 36.75 Bln Rupees In Reliance Retail Ventures,"Reuters
Stock Market News
2020-09-30 03:00","Sept 30 (Reuters) - Reliance Industries Ltd RELI.NS :
* RELIANCE INDUSTRIES LTD SAYS GENERAL ATLANTIC TO INVEST 36.75 BILLION RUPEES IN RELIANCE RETAIL VENTURES
* RELIANCE INDUSTRIES LTD - GENERAL ATLANTIC'S INVESTMENT WILL TRANSLATE INTO A 0.84% EQUITY STAKE IN RRVL ON A FULLY DILUTED BASIS
* RELIANCE INDUSTRIES - GENERAL ATLANTIC INVESTMENT VALUES RELIANCE RETAIL AT A PRE-MONEY EQUITY VALUE OF 4.29 TRLN RUPEES"
BRIEF-Reliance Industries Says KKR To Invest 55.50 Bln Rupees In Reliance Retail Ventures - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-kkr-to-invest-5550-bln-rupees-in-reliance-retail-ventures-2434153,BRIEF-Reliance Industries Says KKR To Invest 55.50 Bln Rupees In Reliance Retail Ventures,"Reuters
Stock Market News
2020-09-23 03:24","Sept 23 (Reuters) - Reliance Industries Ltd RELI.NS :
* SAYS KKR TO INVEST 55.50 BILLION RUPEES IN RELIANCE RETAIL VENTURES'.
* RELIANCE INDUSTRIES LTD SAYS INVESTMENT VALUES RELIANCE RETAIL AT A PRE-MONEY EQUITY VALUE OF 4.21 TRLN RUPEES
* KKR'S INVESTMENT WILL TRANSLATE INTO A 1.28% EQUITY STAKE IN RRVL ON A FULLY DILUTED BASIS
* KKR IS MAKING ITS INVESTMENT FROM ITS ASIA PE FUNDS"
BRIEF-Silver Lake To Invest 75 Bln Rupees In Reliance Industries’ Retail Arm - Investing.com India,Investing.com,https://in.investing.com/news/briefsilver-lake-to-invest-75-bln-rupees-in-reliance-industries-retail-arm-2414552,BRIEF-Silver Lake To Invest 75 Bln Rupees In Reliance Industries' Retail Arm,"Reuters
Stock Market News
2020-09-09 04:06","Sept 9 (Reuters) - India's Reliance Industries Ltd RELI.NS :
* SILVER LAKE TO INVEST 75 BILLION RUPEES IN RELIANCE RETAIL
* SILVER LAKE TO TAKE 1.75% STAKE IN RELIANCE RETAIL
* INVESTMENT VALUES RELIANCE RETAIL AT 4.21 TRLN RUPEES, PRE-MONEY"
BRIEF-Reliance Industries Says Brookfield Investment In Tower Infrastructure Trust Completed - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-says-brookfield-investment-in-tower-infrastructure-trust-completed-2403963,BRIEF-Reliance Industries Says Brookfield Investment In Tower Infrastructure Trust Completed,"Reuters
Stock Market News
2020-09-01 02:42","Sept 1 (Reuters) - Reliance Industries Ltd RELI.NS :
* INVESTMENT BY BROOKFIELD INFRASTRUCTURE, INSTITUTIONAL PARTNERS IN TOWER INFRASTRUCTURE TRUST COMPLETED"
"Nifty gain, Reliance Industries among top boosts - Investing.com India",Investing.com,https://in.investing.com/news/indian-shares-gain-reliance-industries-among-top-boosts-2387525,"Nifty gain, Reliance Industries among top boosts","Reuters
Stock Market News
2020-08-19 04:12","BENGALURU, Aug 19 (Reuters) - Indian shares tracked Asian markets higher on Wednesday, boosted by gains in Reliance Industries Ltd after the conglomerate said it acquired online pharmacy Netmeds for $83 million.
The blue-chip NSE Nifty 50 index .NSEI rose 0.53% to 11,447.60 by 0348 GMT and the S&P BSE Sensex .BSESN 0.57% to 38,750.91. Both indexes are up for a third straight session and the Nifty briefly scaled levels last seen on Feb. 27.
Reliance Industries RELI.NS climbed as much as 1.56% in early trade after the company, late on Tuesday, said it bought a majority stake in licensed e-pharma portal Netmeds. shares rose to a seven-month peak after the S&P 500 index closed at an all-time high overnight and the Nasdaq scaled records after some major U.S. retailers reported strong sales growth. MKTS/GLOB
Meanwhile, the number of COVID-19 cases in India stood at 2.77 million as of Wednesday and deaths at 52,889, government data showed."
BRIEF-Reliance Industries June-Qtr Consol Net Profit Rises - Investing.com India,Investing.com,https://in.investing.com/news/briefreliance-industries-juneqtr-consol-net-profit-rises-2356465,BRIEF-Reliance Industries June-Qtr Consol Net Profit Rises,"Reuters
Stock Market News
2020-07-30 13:54","July 30 (Reuters) - Reliance Industries Ltd RELI.NS :
* JUNE-QUARTER CONSOL NET PROFIT 132.33 BILLION RUPEES VERSUS 101.04 BILLION RUPEES YEAR AGO
* CONSENSUS FORECAST FOR JUNE-QUARTER CONSOL PROFIT WAS 74.57 BILLION RUPEES -- REFINITIV DATA
* JUNE-QUARTER PROFIT 97.53 BILLION RUPEES VERSUS 90.36 BILLION RUPEES YEAR AGO
* JUNE-QUARTER CONSOL REVENUE FROM OPERATIONS 912.38 BILLION RUPEES VERSUS 1.62 TRLN RUPEES YEAR AGO
* JUNE-QUARTER REVENUE FROM OPERATIONS 504.46 BILLION RUPEES VERSUS 931.19 BILLION RUPEES YEAR AGO"
